"","f1","f2","f3","f4","f5","f6","f7","Course","Intervention","Gender_group","Raceethnicity_group","Education_group"
"501",0,-1,-0.75,-0.0833333333333333,0.7,0.333333333333333,0.166666666666667,"PHY105M","Partner Agreements","Man","SD","Not1stGen"
"502",0.214285714285714,-0.2,-0.25,0.166666666666667,0.2,0.5,0.5,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"503",0.142857142857143,-0.333333333333333,0,0,0.4,0,0.333333333333333,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"504",0,0.0666666666666667,0,-0.166666666666667,0.4,0.5,0.5,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"505",0.285714285714286,-0.0666666666666667,-0.25,0.0833333333333333,0.4,0,0.333333333333333,"PHY105M","Partner Agreements","Woman","Mixed","Not1stGen"
"506",0,0.2,0,0,0,0,0,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"507",0.214285714285714,-0.0666666666666667,0,-0.0833333333333333,0.3,0,0.833333333333333,"PHY105M","Partner Agreements","Man","SD","Not1stGen"
"508",-0.214285714285714,-0.2,-0.25,0,-0.2,-0.166666666666667,-0.5,"PHY105M","Partner Agreements","Woman","SND","Not1stGen"
"509",0.285714285714286,-0.333333333333333,-0.75,0.0833333333333333,0.3,0,0.833333333333333,"PHY105M","Partner Agreements","Man","Mixed","1stGen"
"510",0.428571428571429,-0.2,-0.75,0,0.7,0.333333333333333,1,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"511",0.214285714285714,0.0666666666666667,0.5,0.0833333333333333,0.6,0.166666666666667,0.666666666666667,"PHY105M","Partner Agreements","Woman","SND","1stGen"
"512",0.428571428571429,-0.333333333333333,-0.25,0.25,0.8,0.333333333333333,0.833333333333333,"PHY105M","Partner Agreements","Other","SD","1stGen"
"513",0.142857142857143,-0.2,-0.75,0.333333333333333,0.3,0.5,0.666666666666667,"PHY105M","Partner Agreements","Woman","SND","1stGen"
"514",-0.214285714285714,-0.0666666666666667,-0.25,0.166666666666667,-0.1,0.333333333333333,0.5,"PHY105M","Partner Agreements","Woman","SND","Not1stGen"
"515",0.0714285714285714,-0.0666666666666667,0,0,0,0,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"516",-0.0714285714285714,-0.333333333333333,-0.75,0,0.5,0.666666666666667,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"517",-0.0714285714285714,-0.466666666666667,-0.5,-0.0833333333333333,0.2,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"518",0.142857142857143,-0.866666666666667,0,0.0833333333333333,0.4,0,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"519",0.214285714285714,-0.333333333333333,0.5,0,0.4,0.333333333333333,0.166666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"520",0.214285714285714,-0.2,-1,0.0833333333333333,0.3,0.5,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"521",0.357142857142857,-0.333333333333333,-0.25,0,0.6,0.5,1,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"522",0.214285714285714,0.0666666666666667,-1,-0.0833333333333333,0.1,0.166666666666667,1,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"523",0.428571428571429,-0.0666666666666667,-0.5,0,0.4,0.166666666666667,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SND","Not1stGen"
"524",0.428571428571429,0.0666666666666667,0.25,0.25,0.2,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"525",0.357142857142857,-0.333333333333333,0.5,0,0.3,0,1,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"526",0.5,-0.466666666666667,-0.5,0,0.7,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"527",0.285714285714286,-0.2,-0.5,-0.0833333333333333,0.2,-0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Man","SD","1stGen"
"528",0.285714285714286,-0.333333333333333,0,0.0833333333333333,0.5,-0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"529",0,-0.733333333333333,0,-0.0833333333333333,-0.1,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"530",0.428571428571429,-0.333333333333333,0,0.166666666666667,0.5,0.666666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"532",0.214285714285714,-0.2,-0.5,0,0.4,-0.5,0.166666666666667,"PHY105M","Collaborative Comparison","Man","SD","1stGen"
"533",0,-0.0666666666666667,-0.25,0.0833333333333333,0,0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"534",0.0714285714285714,-0.0666666666666667,0.5,0.166666666666667,0.2,-0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"535",0.142857142857143,-0.2,0.5,0,0.1,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Man","SND","Not1stGen"
"536",0.357142857142857,-0.2,-0.25,0,0.2,0,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SND","Not1stGen"
"537",0.0714285714285714,0.0666666666666667,0,-0.0833333333333333,0.1,0.333333333333333,0,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"538",0.0714285714285714,-0.2,-1,0,0.2,0,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"539",0,0.0666666666666667,0,0.25,0.2,0,0.5,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"540",0.142857142857143,0.0666666666666667,-1,0.0833333333333333,0.2,0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SND","Not1stGen"
"541",0.428571428571429,-0.2,-0.75,0.0833333333333333,0.6,0.166666666666667,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"542",0.428571428571429,-0.333333333333333,-0.5,0.0833333333333333,0.6,0.5,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"543",0.142857142857143,-0.2,0,0.166666666666667,0.4,-0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
